sampling_method,dc_n_particles,estimate
STD,100,-3885.56497920177
DC,1000,-3826.13926604855
DC,10000,-3815.33456527933
DC,10,-3949.54343458455
STD,100,-3866.66477447402
DC,10,-4013.03162430797
DC,10000,-3811.70334379275
DC,100,-3860.15067965423
DC,10,-4004.64181263906
STD,10000,-3817.48241483734
DC,10000,-3814.97366205665
STD,10,-4029.75412715402
DC,10000,-3814.05603425564
STD,100,-3872.95820281606
STD,100000,-3815.82202238491
STD,10000,-3818.17412749829
DC,1000,-3826.51126166315
DC,10,-3985.74732327347
DC,100000,-3810.46693360588
DC,10,-3970.03882855047
STD,10,-4000.30290134546
DC,10,-3985.88225626653
STD,10,-4022.81565858008
STD,1000,-3834.34055627367
STD,10000,-3812.97693535044
STD,10,-4037.68666430896
STD,100,-3867.42011393113
DC,1000,-3823.79769557447
STD,10000,-3818.86429163783
STD,100,-3853.55321766886
DC,1000,-3819.28802167413
DC,1000,-3817.98325302909
DC,10,-4014.27665246181
STD,1000,-3832.25319407805
STD,10000,-3814.78731343781
STD,100000,-3816.01976220776
STD,100,-3879.15270074319
STD,100000,-3815.05842055115
STD,100,-3875.5974824544
DC,10,-3970.7637444759
DC,10,-3991.60874446894
STD,100,-3867.42346875363
DC,100000,-3811.38947203559
DC,1000,-3819.43236880404
DC,10000,-3812.65667236278
DC,10,-4014.79574590708
STD,100000,-3812.81919505853
STD,10,-4049.11801103422
STD,1000,-3833.40547553776
STD,1000,-3825.6247399857
STD,100,-3861.21690742249
DC,100,-3854.59469870793
STD,1000,-3828.7645144831
STD,10,-4016.95319916786
DC,100,-3853.87671160343
DC,10,-4005.56905313258
DC,10000,-3811.9075684747
DC,1000,-3821.93695525199
STD,100,-3881.75269041163
DC,10000,-3814.43638747098
DC,100000,-3810.23942220352
STD,1000,-3829.37338598289
DC,1000,-3823.79347624616
DC,10000,-3814.93523911568
DC,10,-3973.34954823913
STD,100,-3873.37443822097
DC,1000,-3819.15412309575
STD,1000,-3836.99069002749
DC,10000,-3811.66239880667
DC,10000,-3814.26034745874
DC,10000,-3814.11733437776
STD,1000,-3825.29990115888
DC,100,-3857.48967583285
STD,10000,-3817.77362082634
DC,10,-3990.46347351462
STD,10,-4020.08649204142
STD,1000,-3831.11658803896
STD,10000,-3815.80978056526
DC,10,-3985.21424411734
DC,100,-3871.48080717771
DC,100,-3857.58982675794
DC,10000,-3809.85796620114
STD,10000,-3814.3235916275
DC,10,-3979.26609448444
STD,100,-3878.01148758386
STD,10,-4011.84446274692
DC,1000,-3808.17105407379
DC,10,-3960.62259330508
DC,10,-3978.75870049266
DC,10,-3996.04823250078
DC,100,-3849.19634593152
DC,10,-4012.93845195568
STD,100000,-3816.39851950722
STD,100000,-3816.08045245164
STD,100000,-3814.83792308135
STD,100000,-3815.86750847591
DC,10,-4023.63425699023
DC,100,-3859.31640842046
DC,1000,-3819.96141646126
DC,1000,-3825.81245667601
DC,1000,-3816.89055616531
STD,100,-3845.51692004265
STD,10000,-3817.36564209544
STD,10000,-3818.46096098813
STD,1000,-3835.08887621173
DC,10000,-3814.01161234285
DC,1000,-3821.40938437626
STD,10000,-3818.0044869072
DC,100,-3853.36832572621
DC,10,-3995.82991974621
DC,100,-3842.74068350223
DC,1000,-3819.26325538527
STD,100000,-3813.48999668451
STD,1000,-3817.95160369278
DC,100,-3848.98941661228
DC,10,-3968.96555834657
DC,100000,-3811.92848000547
DC,10000,-3812.58832292328
DC,10,-4005.07984368592
DC,100,-3858.51960494084
DC,10,-4000.8864253995
STD,1000,-3834.18703922965
STD,1000,-3832.42858231736
STD,100000,-3815.21619093013
DC,1000,-3812.67049008862
STD,100,-3867.4428624056
STD,100,-3874.40497774146
DC,1000,-3825.52529564516
DC,100,-3850.89203246221
STD,100000,-3814.03930458421
DC,10000,-3811.38019766325
STD,100,-3866.79862517092
DC,1000,-3825.09970357141
DC,10,-3973.28038990918
STD,10000,-3817.84764982792
STD,1000,-3834.3283465354
STD,10,-4021.50333697027
STD,10000,-3813.16180411774
STD,10000,-3818.269230483
DC,1000,-3820.56629793963
DC,1000,-3816.31104839037
DC,100,-3840.40629540588
DC,1000,-3822.0837675232
STD,10000,-3816.60631431478
STD,100,-3877.57366616604
DC,10,-3983.26025828631
STD,10,-4024.39321124896
STD,1000,-3834.96818796594
DC,100,-3847.24673699221
STD,100000,-3816.32548921725
STD,10000,-3820.11028797137
DC,100,-3851.21293972762
STD,100000,-3814.93069071019
STD,100,-3878.39132385749
STD,10,-4034.11484294652
DC,10000,-3813.43030360516
STD,100,-3875.82049660406
STD,100000,-3816.07593813281
STD,100000,-3815.56301273525
STD,10000,-3820.13476992098
STD,100000,-3813.71594778752
DC,10000,-3815.20794742171
DC,10000,-3812.16192686776
DC,1000,-3822.19550436119
STD,1000,-3837.28884798023
STD,10,-4011.5412640668
DC,10,-3996.45483583478
STD,10000,-3818.44310642621
DC,100000,-3811.52141832488
STD,1000,-3829.71295016379
DC,1000,-3822.73399323164
DC,100,-3844.10603997721
DC,10000,-3811.75905426904
DC,100,-3859.88480265157
DC,10,-4009.35783789889
STD,100000,-3815.31214084387
DC,100,-3845.6259866916
STD,10,-4019.59685029556
STD,100,-3887.33129107233
STD,10000,-3818.38174407871
